,prompt,chosen,rejected
240,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
국공립 어린이집의 이름을 가나다순으로 보여줘

### context:
CREATE TABLE child_care_info_g_n (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(25) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(55) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRFAXNO varchar(18) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE varchar(8) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(22) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(6) DEFAULT NULL,  CLASS_CNT_02 varchar(7) DEFAULT NULL,  CLASS_CNT_03 varchar(6) DEFAULT NULL,  CLASS_CNT_04 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(7) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CHILD_CNT_00 varchar(7) DEFAULT NULL,  CHILD_CNT_01 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRNAME FROM CHILD_CARE_INFO_G_N WHERE CRTYPENAME = '국공립' ORDER BY CRNAME,SELECT CRNAME FROM CHILD_CARE_INFO_G_N WHERE CRTYPENAME = '국공립' ORDER BY CRNAME
241,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
시설 종류 상세명이 아동복지시설로 분류된 곳의 시설 주소를 찾아줘

### context:
CREATE TABLE fclt_open_info_g_s (  FCLT_NM varchar(36) DEFAULT NULL,  GS_WELFARE_FCLT_CD varchar(11) DEFAULT NULL,  GS_WELFARE_FCLT_KIND_NM varchar(26) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(16) DEFAULT NULL,  FCLT_ADDR varchar(63) DEFAULT NULL) ;

### Response:
",SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_G_S WHERE FCLT_KIND_DTL_NM = '아동복지시설',SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_G_S WHERE FCLT_KIND_DTL_NM = '아동복지시설'
242,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
성북구의 주소를 알려줘

### context:
CREATE TABLE view_amenities_info (  SEQ varchar(9) DEFAULT NULL,  SISULNAME varchar(30) DEFAULT NULL,  GU varchar(9) DEFAULT NULL,  ADDR varchar(52) DEFAULT NULL,  TEL varchar(31) DEFAULT NULL,  HOMEPAGE varchar(150) DEFAULT NULL,  HIT varchar(7) DEFAULT NULL,  ST1 varchar(6) DEFAULT NULL,  ST2 varchar(6) DEFAULT NULL,  ST3 varchar(6) DEFAULT NULL,  ST4 varchar(6) DEFAULT NULL,  ST5 varchar(6) DEFAULT NULL,  ST9 varchar(6) DEFAULT NULL,  ST10 varchar(6) DEFAULT NULL,  ST11 varchar(6) DEFAULT NULL,  ST12 varchar(6) DEFAULT NULL) ;

### Response:
",SELECT ADDR FROM VIEW_AMENITIES_INFO WHERE GU = '성북구',SELECT ADDR FROM VIEW_AMENITIES_INFO WHERE GU = '성북구'
243,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
중구에 있는 택배함의 X좌표와 Y좌표를 알려줘

### context:
CREATE TABLE safe_open_box (  ADDRDETAIL varchar(9) DEFAULT NULL,  ANSIMINM varchar(20) DEFAULT NULL,  ANSIMIADDR varchar(25) DEFAULT NULL,  WGSXPT bigint DEFAULT NULL,  WGSYPT bigint DEFAULT NULL) ;

### Response:
","SELECT WGSXPT, WGSYPT FROM SAFE_OPEN_BOX WHERE ADDRDETAIL = '중구'","SELECT WGSXPT, WGSYPT FROM SAFE_OPEN_BOX WHERE ANSIMIADDR = '중구'"
244,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
시설 종류 상세명이 아동복지시설에 해당하는 시설의 이름과 주소를 나타내줘

### context:
CREATE TABLE fclt_open_info_g_d (  FCLT_NM varchar(30) DEFAULT NULL,  FCLT_CD varchar(11) DEFAULT NULL,  FCLT_KIND_NM varchar(27) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(16) DEFAULT NULL,  JRSD_SGG_NM varchar(8) DEFAULT NULL,  FCLT_ADDR varchar(50) DEFAULT NULL) ;

### Response:
","SELECT FCLT_NM, FCLT_ADDR FROM FCLT_OPEN_INFO_G_D WHERE FCLT_KIND_DTL_NM = '아동복지시설'","SELECT FCLT_NM, FCLT_ADDR FROM FCLT_OPEN_INFO_G_D WHERE FCLT_KIND_DTL_NM = '아동복지시설'"
245,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
이름이 마을로 끝나는 시설의 시군구명과 시설 종류명을 찾아줘

### context:
CREATE TABLE fclt_open_info_k_w_i (  FCLT_NM varchar(33) DEFAULT NULL,  CHILD_WELFARE_FCLT_CD varchar(11) DEFAULT NULL,  FCLT_KIND_NM varchar(26) DEFAULT NULL,  CHILD_WELFARE_FCLT_KIND_DTL_NM varchar(11) DEFAULT NULL,  JRSD_SGG_NM varchar(10) DEFAULT NULL,  CHILD_WELFARE_FCLT_ADDR varchar(70) DEFAULT NULL) ;

### Response:
","SELECT FCLT_KIND_NM, JRSD_SGG_NM FROM FCLT_OPEN_INFO_K_W_I WHERE FCLT_NM LIKE '%마을'","SELECT JRSD_SGG_NM, FCLT_KIND_NM FROM FCLT_OPEN_INFO_K_W_I WHERE FCLT_NM LIKE '%마을'"
246,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
시간제 보육 서비스를 제공하는 어린이집의 정원과 현원을 알려줘

### context:
CREATE TABLE child_care_info_y_s (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(32) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(52) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRHOME varchar(44) DEFAULT NULL,  NRTRROOMSIZE varchar(9) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(200) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(15) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(6) DEFAULT NULL,  CLASS_CNT_02 varchar(6) DEFAULT NULL,  CLASS_CNT_03 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(7) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CLASS_CNT_SP varchar(6) DEFAULT NULL,  CLASS_CNT_TOT varchar(7) DEFAULT NULL,  CHILD_CNT_01 varchar(7) DEFAULT NULL,  CHILD_CNT_02 varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_04 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL) ;

### Response:
","SELECT CRCAPAT, CRCHCNT FROM CHILD_CARE_INFO_Y_S WHERE CRSPEC LIKE '%시간제보육%'","SELECT CRCAPAT, CRCHCNT FROM CHILD_CARE_INFO_Y_S WHERE CRSPEC = '시간제'"
247,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
정원이 200명 이상인 어린이집의 인가 일자가 언제야

### context:
CREATE TABLE child_care_info (  SIGUNNAME varchar(9) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(35) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(73) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRFAXNO varchar(19) DEFAULT NULL,  NRTRROOMCNT bigint DEFAULT NULL,  NRTRROOMSIZE bigint DEFAULT NULL,  PLGRDCO bigint DEFAULT NULL,  CCTVINSTLCNT bigint DEFAULT NULL,  CHCRTESCNT bigint DEFAULT NULL,  CRCAPAT bigint DEFAULT NULL,  CRCHCNT bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  CRPAUSEENDDT varchar(19) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(32) DEFAULT NULL,  CLASS_CNT_00 bigint DEFAULT NULL,  CLASS_CNT_02 bigint DEFAULT NULL,  CLASS_CNT_03 bigint DEFAULT NULL,  CLASS_CNT_04 bigint DEFAULT NULL,  CLASS_CNT_M2 bigint DEFAULT NULL,  CLASS_CNT_SP bigint DEFAULT NULL,  CHILD_CNT_00 bigint DEFAULT NULL,  CHILD_CNT_01 bigint DEFAULT NULL,  CHILD_CNT_02 bigint DEFAULT NULL,  CHILD_CNT_03 bigint DEFAULT NULL,  CHILD_CNT_04 bigint DEFAULT NULL,  CHILD_CNT_M2 bigint DEFAULT NULL) ;

### Response:
",SELECT CRCNFMDT FROM CHILD_CARE_INFO WHERE CRCAPAT >= 200,SELECT CRCNFMDT FROM CHILD_CARE_INFO WHERE CRCAPAT >= 200
248,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
이름이 샘물의 집인 시설의 주소를 찾아줘

### context:
CREATE TABLE fclt_open_info_g_a (  FCLT_NM varchar(30) DEFAULT NULL,  FCLT_CD varchar(11) DEFAULT NULL,  FCLT_KIND_NM varchar(26) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(16) DEFAULT NULL,  JRSD_SGG_NM varchar(8) DEFAULT NULL,  FCLT_ADDR varchar(54) DEFAULT NULL) ;

### Response:
",SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_G_A WHERE FCLT_NM = '샘물의집',SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_G_A WHERE FCLT_NM = '샘물의 집'
249,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
혜림어린이집의 보육실 면적과 정원은 얼마야

### context:
CREATE TABLE child_care_info_y_c (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(35) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(56) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRFAXNO varchar(18) DEFAULT NULL,  CRHOME varchar(67) DEFAULT NULL,  NRTRROOMSIZE varchar(8) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(21) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(6) DEFAULT NULL,  CLASS_CNT_02 varchar(6) DEFAULT NULL,  CLASS_CNT_03 varchar(6) DEFAULT NULL,  CLASS_CNT_04 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_SP varchar(7) DEFAULT NULL,  CHILD_CNT_00 varchar(6) DEFAULT NULL,  CHILD_CNT_02 varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
","SELECT NRTRROOMSIZE, CRCAPAT FROM CHILD_CARE_INFO_Y_C WHERE CRNAME = '혜림어린이집'","SELECT NRTRROOMSIZE, CRCAPAT FROM CHILD_CARE_INFO_Y_C WHERE CRNAME = '혜림어린이집'"
250,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
인근 전철역이 홍대입구역인 공고의 주말 근무 여부를 알려줘

### context:
CREATE TABLE tb_vmc_recruit (  NUM bigint DEFAULT NULL,  W_NO bigint DEFAULT NULL,  LANG_CD varchar(7) DEFAULT NULL,  DISPLAY varchar(6) DEFAULT NULL,  SUBJECT varchar(212) DEFAULT NULL,  STATE_CD varchar(6) DEFAULT NULL,  COMPANY_NO varchar(34) DEFAULT NULL,  NATION_CD varchar(36) DEFAULT NULL,  WORKAREA_CD varchar(236) DEFAULT NULL,  WORKDAY_CD varchar(10) DEFAULT NULL,  WORKHOURS_ST varchar(10) DEFAULT NULL,  WORKHOURS_ED varchar(10) DEFAULT NULL,  EMPFORM_CD varchar(13) DEFAULT NULL,  WEEKENDWORK_CD varchar(15) DEFAULT NULL,  WORKPAY varchar(122) DEFAULT NULL,  WORKMEN varchar(75) DEFAULT NULL,  WORKSERVICE varchar(253) DEFAULT NULL,  WORKSUBWAY varchar(265) DEFAULT NULL,  NATION varchar(123) DEFAULT NULL,  WORKPATTERN varchar(1495) DEFAULT NULL,  WORKAREA varchar(149) DEFAULT NULL,  WORKTIME varchar(156) DEFAULT NULL,  CONTENTS blob,  AFILE1 varchar(87) DEFAULT NULL,  AFILE1_ORG varchar(51) DEFAULT NULL,  AFILE2 varchar(22) DEFAULT NULL,  AFILE2_ORG varchar(33) DEFAULT NULL,  HIT varchar(9) DEFAULT NULL,  WDATE varchar(19) DEFAULT NULL,  TA_DATE varchar(19) DEFAULT NULL,  MB_NAME varchar(16) DEFAULT NULL,  APPLY_OPEN varchar(6) DEFAULT NULL,  TR_LANGS varchar(34) DEFAULT NULL,  IS_NOTICE_TEXT varchar(6) DEFAULT NULL,  IS_CHARGED_CONTENT_COPYRIGHT varchar(6) DEFAULT NULL) ;

### Response:
",SELECT WEEKENDWORK_CD FROM TB_VMC_RECRUIT WHERE WORKSUBWAY = '홍대입구역',SELECT WEEKENDWORK_CD FROM TB_VMC_RECRUIT WHERE WORKSUBWAY LIKE '%홍대입구%'
251,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
시설 종류 상세명이 아동복지시설인 시설의 수를 나타내줘

### context:
CREATE TABLE fclt_open_info_g_s (  FCLT_NM varchar(36) DEFAULT NULL,  GS_WELFARE_FCLT_CD varchar(11) DEFAULT NULL,  GS_WELFARE_FCLT_KIND_NM varchar(26) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(16) DEFAULT NULL,  FCLT_ADDR varchar(63) DEFAULT NULL) ;

### Response:
",SELECT COUNT(FCLT_NM) FROM FCLT_OPEN_INFO_G_S WHERE FCLT_KIND_DTL_NM = '아동복지시설',SELECT COUNT(FCLT_NM) FROM FCLT_OPEN_INFO_G_S WHERE FCLT_KIND_DTL_NM = '아동복지시설'
252,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
광진구 육아 종합 지원 센터의 등록 일시를 알려줘

### context:
CREATE TABLE tn_fclty_sttus_info10075 (  CLTUR_EVENT_ETC_NM varchar(55) DEFAULT NULL,  SVC_CL_CODE bigint DEFAULT NULL,  SVC_CL_NM varchar(9) DEFAULT NULL,  ATDRC_CODE bigint DEFAULT NULL,  ATDRC_NM varchar(9) DEFAULT NULL,  AGE_SE_CODE bigint DEFAULT NULL,  AGE_SE_NM varchar(9) DEFAULT NULL,  FCLTY_CL_CODE bigint DEFAULT NULL,  FCLTY_CL_NM varchar(8) DEFAULT NULL,  X_CRDNT_VALUE bigint DEFAULT NULL,  Y_CRDNT_VALUE bigint DEFAULT NULL,  ZIP bigint DEFAULT NULL,  BASS_ADRES varchar(34) DEFAULT NULL,  DETAIL_ADRES varchar(49) DEFAULT NULL,  RNTFEE_FREE_AT varchar(6) DEFAULT NULL,  RNTFEE varchar(14) DEFAULT NULL,  GUIDANCE_URL varchar(113) DEFAULT NULL,  REGIST_DT varchar(19) DEFAULT NULL,  UPDT_DT varchar(19) DEFAULT NULL) ;

### Response:
",SELECT REGIST_DT FROM TN_FCLTY_STTUS_INFO10075 WHERE CLTUR_EVENT_ETC_NM = '광진구육아종합지원센터',SELECT REGIST_DT FROM TN_FCLTY_STTUS_INFO10075 WHERE CLTUR_EVENT_ETC_NM = '광진구 육아 종합 지원 센터'
253,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
시설의 수가 많은 순서대로 시군구별로 시설의 수를 시군구명과 함께 보여줘

### context:
CREATE TABLE fclt_open_info_k_w_i (  FCLT_NM varchar(33) DEFAULT NULL,  CHILD_WELFARE_FCLT_CD varchar(11) DEFAULT NULL,  FCLT_KIND_NM varchar(26) DEFAULT NULL,  CHILD_WELFARE_FCLT_KIND_DTL_NM varchar(11) DEFAULT NULL,  JRSD_SGG_NM varchar(10) DEFAULT NULL,  CHILD_WELFARE_FCLT_ADDR varchar(70) DEFAULT NULL) ;

### Response:
","SELECT JRSD_SGG_NM, COUNT(FCLT_NM) FROM FCLT_OPEN_INFO_K_W_I GROUP BY JRSD_SGG_NM ORDER BY COUNT(FCLT_NM) DESC","SELECT JRSD_SGG_NM, COUNT(FCLT_NM) FROM FCLT_OPEN_INFO_K_W_I GROUP BY JRSD_SGG_NM ORDER BY COUNT(FCLT_NM) DESC"
254,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
여자 간호사 수가 10명 이상이거나 영등포가 아닌 곳에 있는 어린이집의 전체 수를 작은 순부터 알려줘

### context:
CREATE TABLE stat_teacher_area_type_info (  STYEAR varchar(19) DEFAULT NULL,  ARCODE bigint DEFAULT NULL,  ARCODENM varchar(8) DEFAULT NULL,  TOT bigint DEFAULT NULL,  FPNTOT bigint DEFAULT NULL,  MPNTOT bigint DEFAULT NULL,  FPN10 bigint DEFAULT NULL,  MPN10 bigint DEFAULT NULL,  FPN20 bigint DEFAULT NULL,  MPN20 bigint DEFAULT NULL,  FPN30 bigint DEFAULT NULL,  MPN30 bigint DEFAULT NULL,  FPN40 bigint DEFAULT NULL,  MPN40 bigint DEFAULT NULL,  FPN50 bigint DEFAULT NULL,  MPN50 bigint DEFAULT NULL,  FPN60 bigint DEFAULT NULL,  MPN60 bigint DEFAULT NULL,  FPN70 bigint DEFAULT NULL,  MPN70 bigint DEFAULT NULL,  FPN80 bigint DEFAULT NULL,  MPN80 bigint DEFAULT NULL) ;

### Response:
",SELECT TOT FROM STAT_TEACHER_AREA_TYPE_INFO WHERE FPN30 >= 10 OR ARCODENM != '영등포' ORDER BY TOT ASC,SELECT COUNT(DISTINCT STYEAR) FROM STAT_TEACHER_AREA_TYPE_INFO WHERE FPNTOT >= 10 OR ARCODENM!= '영등포' ORDER BY COUNT(DISTINCT STYEAR) ASC
255,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
양천구 어린이집 중 제공 서비스에 야간 연장이 있는 유치원의 상세주소를 알려줘

### context:
CREATE TABLE child_care_info_y_c (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(35) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(56) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRFAXNO varchar(18) DEFAULT NULL,  CRHOME varchar(67) DEFAULT NULL,  NRTRROOMSIZE varchar(8) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(21) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(6) DEFAULT NULL,  CLASS_CNT_02 varchar(6) DEFAULT NULL,  CLASS_CNT_03 varchar(6) DEFAULT NULL,  CLASS_CNT_04 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_SP varchar(7) DEFAULT NULL,  CHILD_CNT_00 varchar(6) DEFAULT NULL,  CHILD_CNT_02 varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRADDR FROM CHILD_CARE_INFO_Y_C WHERE CRSPEC LIKE '%야간연장%',SELECT CRADDR FROM CHILD_CARE_INFO_Y_C WHERE CRSPEC LIKE '%야간연장%'
256,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
운영 현황이 휴지이거나 상세 주소에 신길로가 들어가는 어린이집의 팩스 번호를 알려줘

### context:
CREATE TABLE child_care_info_y_d (  SIGUNNAME varchar(9) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(23) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(61) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRFAXNO varchar(19) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE varchar(8) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  CRPAUSEENDDT varchar(19) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(32) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(6) DEFAULT NULL,  CLASS_CNT_02 varchar(6) DEFAULT NULL,  CLASS_CNT_04 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CLASS_CNT_SP varchar(6) DEFAULT NULL,  CLASS_CNT_TOT varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_04 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRFAXNO FROM CHILD_CARE_INFO_Y_D WHERE CRSTATUSNAME = '휴지' OR CRADDR LIKE '%신길로%',SELECT CRFAXNO FROM CHILD_CARE_INFO_Y_D WHERE CRSTATUSNAME = '휴지' OR CRADDR LIKE '%신길로%'
